iter	Logloss
0	0.1028006299
1	0.03952771872
2	0.02686506372
3	0.01942825512
4	0.01616166729
5	0.01281661532
6	0.01120378414
7	0.009167818402
8	0.008926951071
9	0.007920321496
10	0.006541011478
11	0.005604597628
12	0.005470443683
13	0.005307116113
14	0.005306921119
15	0.005098966307
16	0.004666053076
17	0.004567990424
18	0.003953541665
19	0.003953589114
20	0.003953380505
21	0.003953474979
22	0.003822066263
23	0.003821914204
24	0.003757328048
25	0.00371296283
26	0.003624284445
27	0.003623762686
28	0.003468103618
29	0.003378714235
30	0.00337869648
31	0.003262262048
32	0.00320666167
33	0.0032060019
34	0.003206604399
35	0.003206345196
36	0.003206345196
37	0.003206345196
38	0.003206345196
39	0.003206345196
40	0.003206345196
41	0.003206345196
42	0.003206345196
43	0.003206345196
44	0.003206345196
45	0.003206345196
46	0.003206345196
47	0.003137730717
48	0.003077373664
49	0.003077238309
50	0.002958306552
51	0.002958562425
52	0.002958266879
53	0.002958377582
54	0.00295807047
55	0.002958082203
56	0.002958079392
57	0.002958079392
58	0.002958079392
59	0.002958079392
60	0.002958079392
61	0.002958079392
62	0.002958079392
63	0.002958079392
64	0.002958079392
65	0.002958079392
66	0.002958079392
67	0.002958079392
68	0.002958079392
69	0.002958079392
70	0.002958079392
71	0.002958079392
72	0.002958079392
73	0.002958079392
74	0.002958079392
75	0.002958079392
76	0.002958079392
77	0.002958079392
78	0.002958079392
79	0.002958079392
80	0.002958079392
81	0.002958079392
82	0.002958079392
83	0.002958079392
84	0.002958079392
85	0.002958079392
86	0.002958079392
87	0.002958079392
88	0.002958079392
89	0.002958079392
90	0.002958079392
91	0.002958079392
92	0.002958079392
93	0.002958079392
94	0.002958079392
95	0.002958079392
96	0.002958079392
97	0.002958079392
98	0.002958079392
99	0.002958079392
